youtube_url,hebrew_line_1,hebrew_line_2,hebrew_line_3,english_line_1,english_line_2,english_line_3,song_title,artist_name,publish_year,id,created_date,updated_date,created_by_id,created_by,is_sample
"https://music.youtube.com/watch?v=GeiMDJDcA3E&si=vo9ctA_FjTeGAQAr","ניתקתי את עצמי, הכל כה דמיוני,","היא לא תבוא יותר וכדאי לוותר","הקפה התקרר","Two clear drops stream down the window.","""Beyond the street, a curtain suddenly shifted,""","Smoked fragments, smoke in the pupils,","לראות אותה היום","תיסלם","1981","6891ee9ffc1759f1781c4ff0","2025-08-05T11:44:31.363000","2025-08-05T11:44:31.363000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=mayq4vObs_o","מנגן לה סרנדה בהרמטיקו","והיא רוצה שאני אסתום ת'פה ואלך מפה","אני נכנס לדיכאון עמוק הרמטיקו","Here we go (go!)","You better listen","The BBB train is riding on a rhythm","Hermetico","Balkan Beat Box","2007","688cbff84d0f7618d933bc02","2025-08-01T13:24:08.776000","2025-08-01T13:24:08.776000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=NOChT0LiOOs","כל קבצנייך עומדים בתפילה","ובנייך בנותייך חתן כלה","וכל קבצנייך אחים","My country, a land of beauty and poverty","The queen has no house, the king has no crown.","And seven days of spring in the year","משירי ארץ אהבתי","חווה אלברשטיין","1973","688cbff84d0f7618d933bc01","2025-08-01T13:24:08.772000","2025-08-01T13:24:08.772000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=6W5Ri8RfEfo&si=AKS6bFZ0Ss98pzSO&t=18","אני זוכר את הפינה שלי איתך עוד לא תפסו אותה בינתיים","כמעט הכל אותו דבר פה הגלים וגם החול והשמיים","הורדנו את כל הצרות שם על החוף ונכנסנו למים","I love the smile and I never stop thinking about the poor","I'm ready to go all the way even if I end up falling off my feet","Look where I've gotten myself because I don't give up","קיץ","אביאור מלסה","2016","688cbff84d0f7618d933bc00","2025-08-01T13:24:08.763000","2025-08-01T13:24:08.763000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=ryHLrr4J1M4","המקום הזה מלא עשן","נסעו מכל המדינה ישר לכאן","זה בוער לי בגוף","Move your whole body to the melody","And embrace it with love","Sing the words like there's no tomorrow","תזיזו","עדן בן זקן","2017","688cbff84d0f7618d933bbff","2025-08-01T13:24:08.752000","2025-08-01T13:24:08.752000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=ynFjjOTwCD0","אני האש וגם המים","אני הים והשמיים","ולא שטן כי רק מלאך","I am the fire and the water.","I am the sea and the sky.","And no demon, only an angel","אני ","היי פייב","1997","688cbff84d0f7618d933bbfe","2025-08-01T13:24:08.747000","2025-08-01T13:24:08.747000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=BpIEG6bIQTI","ויש נשיקה שמחכה לי","(מחכה לי)","ימיים של אושר...","She wasn't the only one.","Singing to herself","Without understanding what is happening to her.","יום מעונן","היי פייב","1997","688cbff84d0f7618d933bbfd","2025-08-01T13:24:08.740000","2025-08-01T13:24:08.740000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=qIlo1-2bQx8","""יעקב תקום, זה לא מאוחר, אתה לא לבד בעולם""","אבל יעקב ישן. ישן וחולם, על סולמות אל השמיים","הלו יעקב","All the people who fell asleep","The partygoers are home.","On the stones in the desert","יעקב","ללדין","1994","688cbff84d0f7618d933bbfc","2025-08-01T13:24:08.736000","2025-08-01T13:24:08.736000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=pHYgS_6gT1I","שום אפשרות שישנה תחרות בין מיכל וסיגל והיתר","מה פתאום לא שתלטנית וזמן שלי חשוב כמו גבר","אז אם לא תתקשר ותתחיל לחזר אני לא אראה אותך ממטר","There's no way you won't see me.","It's impossible to walk down the street and cross to the other side.","There's no chance, it's not up to you or what I wore.","אתה חייב למות עלי","חמסה","2003","688cbff84d0f7618d933bbfb","2025-08-01T13:24:08.728000","2025-08-01T13:24:08.728000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=RJ71XYU5Pt4","והדלקתי נרות","כך שבינתיים","אצלי הכל בסדר","With me, all is well.","This week I already found myself a room.","A pleasant atmosphere","אצלי הכל בסדר","ג'וזי כץ","1974","688cbff84d0f7618d933bbfa","2025-08-01T13:24:08.722000","2025-08-01T13:24:08.722000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=r9yd1kcPr5Q","כנראה גם הוא מרגיש","אני באה אליכם אני באה אליכם","אבא יגיד: ""הגיעה הנסיכה""","When it's sad and nothing works","When it’s frightening and complicated","I am coming to you, I am coming to you.","באה אליכם","מירי מסיקה","2004","688cbff84d0f7618d933bbf9","2025-08-01T13:24:08.717000","2025-08-01T13:24:08.717000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=2Rfl5h4gjmo","מלא במילותיך וריק משתיקותי","אתה אומר היה מושלם וככה סתם","ואיך זה שאת לא בוכה אני הולכת ממך","Remember November? Clouds, clouds in my eyes.","These weren't your lives, nor truly mine.","""Day after day without you, without me.""","נובמבר ","מירי מסיקה","2004","688cbff84d0f7618d933bbf8","2025-08-01T13:24:08.712000","2025-08-01T13:24:08.712000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=FO7V1gRYPsE","למדנו לחכות ולוותר ואיך להיזהר, מכל מילה","והכל יקפא פתאום","אם יהיה לנו רגע לעצור בפינת רחוב","""If we survive the flood this time,""","Every smile will be different, touched.","If I repeat it again and again and again","מבול ","רונה קינן","2004","688cbff84d0f7618d933bbf7","2025-08-01T13:24:08.707000","2025-08-01T13:24:08.707000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=gum5OFhxwBw","כזאת אני חולפת רגע חושפת ושנייה אחר כך","שוב נשטפת אל השגרה הזמן נהיה קצר","אז אני חוטפת כמה שרק אפשר וטוב לי.","Such am I, fleeting—revealing for a moment, and a second later","Once again swept into routine, time grows short.","So I grab as much as I can, and it feels good.","מבול","קרן פלס","2008","688cbff84d0f7618d933bbf6","2025-08-01T13:24:08.703000","2025-08-01T13:24:08.703000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=f3AmksX3Rro","רועדת לידך והסם שבי עוד לא נגמר","נושמת לי ממך והטעם כבר מר.","המבט אחר והקור חודר","I was like a blind woman in the light of day","From all the logic, there's no room left.","Trembling beside you, and the drug within me isn't gone yet.","השקט שנשאר","שירי מיימון","2005","688cbff84d0f7618d933bbf5","2025-08-01T13:24:08.697000","2025-08-01T13:24:08.697000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=Vb85tOBgz9k","כל יום באותה השעה","גברים מאחור צופרים לי","מותק, למה את לא מתקדמת?","I stand in traffic.","Every day at the same hour","Men behind honk at me","הולכת ממך","שרון חזיז","1995","688cbff84d0f7618d933bbf4","2025-08-01T13:24:08.683000","2025-08-01T13:24:08.683000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=gTxEfg23AQg","ואל תיכנע לחולשות שבגוף","שא בעול בכתפיים איתנות","ותאמין ותאמין, רק תאמין.","Don't forget to find joy in my parts too.","And don't hold back from crying when you're sad.","Make the most of it while you are still innocent.","שיר בעפרון","בית הבובות","2004","688cbff84d0f7618d933bbf3","2025-08-01T13:24:08.678000","2025-08-01T13:24:08.678000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
"https://music.youtube.com/watch?v=PlHoYuWNZwo","כל הציפורים מצייצות בדלת שלך","כל הציפורים מבקשות מהפכה.","גם אם תעשה בי טוב","Even if you do more to me","Even if it's very hot","Even if you insist on coming","ארוץ אליך","שרון קנטור","2003","688cbff84d0f7618d933bbf2","2025-08-01T13:24:08.665000","2025-08-01T13:24:08.665000","68845e70c305a0fb48ee28dc","szpruch@gmail.com","false"
