youtube_url,hebrew_line_1,hebrew_line_2,hebrew_line_3,english_line_1,english_line_2,english_line_3,song_title,artist_name_1,artist_name_2,artist_name_3,publish_year
https://music.youtube.com/watch?v=P-IHYOpI3gc,קצב הוא רוקד,זהו בן לוויה לנשמה,"אנשים מרגישים את זה בכל מקום, ממ",But I'm going too fast,Free your mind and join us,"Suddenly, I can't remember how to stop, turn around",Rhythm Is a Dancer,SNAP!,,,1991
https://music.youtube.com/watch?v=aBJZsHDJvf0,"זה החיים שלי, קח את זה או תשאיר את זה","שחרר אותי, מה זה שטויות אבה-יודע-כל הזאת",יש לי את החיים שלי ויש לך את החיים שלך,Things I do I do them no more,Do you understand,Very little knowledge is dangerous,It's My Life,Dr. Alban,,,1992
https://music.youtube.com/watch?v=ekh1c9gXa9s,או או או או או או או או או או או,או או או או או או או או או או או,"אני רואה את השמש אומרת ""בוקר טוב""",The darkest hour just before the dawn,"Bring it on (bring it on), bring it on (bring it on)",The darkest hour just before the dawn,You Bring on the Sun,Londonbeat,,,1992
https://music.youtube.com/watch?v=1p3DVgMTSoE,"הַלַּיְלָה, הַלַּיְלָה, הַלַּיְלָה, הַלַּיְלָה","הלילה, הלילה",לה לה לה לה לה,La la la la la la la la,"La, la la la",It's going to be a fine night tonight,It's a Fine Day,Opus III,,,1991
https://music.youtube.com/watch?v=9VeFz8kz6e0,תתחיל!,תן בראש!,תתחיל!,Sweet (Sweet),"That's the move, sure can't hurt this beat","You ain't heard nothing yet, just",Chic Mystique,Chic,,,1992
https://music.youtube.com/watch?v=0RbhBXJjRQU,"צד העיר בחורף, רסיסי שלג כמו קריסטל",סביב ראשי וברוח,לא היו לי אשליות שאי פעם אמצא,"Big in Japan, ooh, the eastern sea's so blue",Things are easy when you're big in Japan,"Big in Japan, alright",Big in Japan,Alphaville,,,1984
https://music.youtube.com/watch?v=4C2lhVUb95U,סקוטי ג'י,"את מרגישה את זה, מותק?",גם אני יכול/ה,Feel the vibration,"Marky Mark, and I'm here to move you",Making you feel the rhythm is my occupation,Good Vibrations,Marky Mark and the Funky Bunch,,,1991
https://music.youtube.com/watch?v=JirXTmnItd4,"טענו את הרובים, הביאו את החברים שלכם",זה כיף להפסיד ולהעמיד פנים,היא משועממת יתר על המידה ובטוחה בעצמה,"A denial, a denial","A denial, a denial","Here we are now, entertain us",Smells Like Teen Spirit,Nirvana,,,1991
https://music.youtube.com/watch?v=3_MxoInzekg,מממממ,זה זה,.הגיע הזמן שתלך לקצה הגבול,Then break them all 'cause you are the best,"Never, ever",Mmmmmm,Cream,Prince,,,1991
https://music.youtube.com/watch?v=0nPFFBK9_GU,כל מי שאי פעם החזיק בך,הייתי מספר לך איך אני מרגיש,כל מי שאי פעם רצה אותך,Would try to tell you what I feel inside,Anyone who ever held you,Would tell you the way I'm feeling,Stars,Simply Red,,,1991
https://music.youtube.com/watch?v=wAZ5xdl5H6M,"החזיקי מעמד, ילדה קטנה",הראי לי מה הוא עשה לך,"קומי, ילדה קטנה","So come on, baby, come on over",Fate will twist the both of you,Let me be the one to show you,To Be With You,Mr. Big,,,1991
https://music.youtube.com/watch?v=4UnU3r0M3zg,לפעמים אני מרגיש שאין לי שותף,לפעמים אני מרגיש כמו החבר היחיד שלי.,האם העיר שבה אני חי היא עיר המלאכים,"Yeah, yeah (Away)",She sees my good deeds and she kisses me windy,"Is the city I live in, The City of Angels",Under the Bridge,Red Hot Chili Peppers,,,1991
